price,discount,ad_spend,targeting,creative,page_quality,region,sales
2000,10,7346,high,normal,4,high,2192
3500,0,12996,medium,urgency,4,low,887
2500,0,18775,low,urgency,3,high,1227
2500,0,16919,medium,normal,4,low,962
2500,5,6810,high,urgency,2,high,1859
2000,5,10206,low,offer,5,high,1639
2500,10,12005,medium,offer,5,low,1294
2000,0,19371,medium,normal,2,high,1363
2500,0,15316,medium,offer,5,low,1172
3500,5,21416,medium,normal,1,low,558
3500,0,11436,high,normal,2,high,970
3000,5,15984,low,offer,4,low,764
3500,0,3271,low,normal,2,high,620
3000,10,22895,low,offer,3,low,741
3500,0,21155,high,urgency,4,low,1107
2000,0,13616,medium,urgency,3,low,1438
3500,15,7361,low,normal,4,low,600
3000,5,10069,high,offer,5,high,1711
3000,0,20304,high,offer,2,high,1303
2500,0,6430,high,urgency,1,high,1628
2000,15,23819,high,urgency,4,high,2838
3500,15,15676,low,offer,4,low,694
2500,5,13816,high,normal,3,high,1542
3500,15,23144,medium,urgency,5,low,1045
3500,10,5050,high,normal,3,low,865
2500,15,14692,high,normal,3,high,1618
2500,10,4165,high,urgency,5,low,1822
2500,5,5033,medium,normal,1,low,783
2500,5,3145,low,normal,3,high,988
2500,5,17269,medium,offer,3,high,1430
3500,5,23772,high,normal,4,high,1190
2500,5,10832,high,offer,5,low,1541
2000,10,17286,low,urgency,2,low,1165
3000,10,5632,low,urgency,1,high,955
2500,5,7494,low,offer,1,low,724
2500,15,18152,high,urgency,5,high,2430
3500,0,12155,high,normal,4,low,842
2500,5,13426,low,normal,4,high,1067
2500,15,13233,medium,normal,5,low,1125
2500,0,4828,high,urgency,4,high,2058
3500,5,15260,high,normal,1,high,934
2500,5,12130,medium,urgency,1,high,1364
3000,10,7805,medium,normal,2,low,740
3500,0,3806,medium,offer,5,high,1114
3000,0,11202,low,urgency,3,high,1023
3500,15,4868,medium,urgency,3,low,908
2500,10,17561,medium,normal,2,high,1208
3000,10,18512,high,urgency,2,low,1226
3500,10,17899,medium,urgency,4,low,973
2000,10,19220,high,offer,2,high,2149
2500,0,18934,low,offer,2,low,755
3500,0,8429,medium,normal,3,high,839
2000,5,12076,low,offer,4,low,1146
3500,5,6564,low,normal,2,high,651
2000,10,4389,high,normal,2,high,1868
2500,10,14593,high,normal,4,high,1748
3000,10,10274,low,urgency,5,low,969
2000,5,20208,medium,offer,4,low,1438
3500,15,21649,high,normal,3,high,1166
2500,15,20320,low,offer,5,low,1033
2000,5,13745,medium,normal,1,low,989
3500,5,17199,high,offer,4,high,1375
3500,5,23229,medium,offer,3,high,1020
3500,5,18876,low,normal,5,high,814
2000,5,21180,medium,urgency,4,low,1630
2000,5,11245,high,offer,2,low,1539
2000,10,10214,medium,urgency,4,low,1702
3000,10,3726,low,urgency,1,high,953
2000,10,22120,high,normal,4,high,2182
2000,10,16832,low,normal,5,high,1493
2000,5,14362,high,normal,5,high,2224
3000,15,21297,low,offer,4,high,1075
2000,0,13106,high,normal,5,high,2129
3500,5,10657,medium,normal,2,low,603
2000,0,21850,medium,offer,4,high,1822
3500,15,17551,low,offer,2,high,787
3500,10,10906,medium,normal,2,high,857
3500,15,24260,high,normal,3,high,1150
3000,5,10287,high,normal,4,high,1388
3000,10,3892,medium,normal,5,high,1250
3000,5,13222,medium,urgency,2,high,1236
2000,10,7675,high,urgency,3,high,2636
3500,0,4933,high,normal,4,low,848
3000,0,20764,medium,urgency,4,low,1036
3000,0,14873,medium,offer,1,high,952
2000,15,20674,medium,urgency,1,high,1778
3000,5,21024,medium,urgency,2,low,928
2000,15,16239,low,normal,1,high,1090
2500,0,13874,medium,urgency,2,low,1050
3000,5,20602,medium,urgency,5,low,1166
2500,0,8016,high,urgency,2,high,1764
2000,15,16774,low,urgency,1,low,1063
3500,15,12752,medium,offer,5,low,918
3000,15,20338,medium,normal,1,low,681
2000,0,18585,medium,normal,2,high,1360
3500,5,10291,low,offer,3,high,808
3500,5,3974,medium,urgency,4,high,1240
2500,0,7133,medium,offer,1,high,1150
2000,5,17663,medium,urgency,2,low,1386
3500,0,24754,medium,offer,5,high,1114
3000,5,6972,medium,normal,1,low,652
3000,10,8295,high,normal,1,high,1142
2500,10,16913,low,normal,4,high,1123
3500,15,12105,high,urgency,2,high,1395
2000,10,11228,medium,urgency,3,low,1593
3000,10,12903,low,offer,5,high,1136
3500,10,6020,low,offer,2,low,585
3500,0,11987,medium,normal,5,low,738
2500,10,23420,high,urgency,1,high,1774
3000,10,24452,high,offer,4,low,1264
3000,15,15880,high,urgency,4,high,1892
2000,10,8233,medium,urgency,3,low,1582
3000,10,12516,medium,normal,4,low,866
2000,5,17559,low,normal,1,high,1045
3000,15,19701,medium,urgency,3,high,1414
2500,15,5396,medium,urgency,2,high,1556
3000,15,21546,low,urgency,4,high,1208
2000,15,22129,low,urgency,3,high,1688
2000,15,4591,medium,normal,1,low,1028
2500,15,14303,high,offer,5,high,2153
3000,0,9183,high,normal,5,high,1413
3000,10,23314,high,offer,1,high,1314
2500,15,4312,medium,urgency,1,high,1423
3000,10,23695,medium,offer,5,high,1425
3000,10,10314,medium,normal,3,high,1083
2000,0,21767,high,normal,5,high,2120
3000,15,22623,low,urgency,1,low,712
3000,5,5139,medium,normal,4,low,838
2500,0,17688,high,urgency,2,high,1761
2500,5,21088,medium,normal,4,low,1003
3500,10,9924,medium,normal,4,high,996
2000,10,3362,medium,urgency,1,low,1333
3000,0,21988,low,offer,5,high,1053
3000,0,16481,medium,normal,3,low,737
3500,5,23670,medium,offer,4,low,818
3000,15,6738,low,normal,5,high,994
2000,5,5469,low,normal,3,high,1242
3500,0,24179,high,normal,4,high,1130
2000,5,19106,low,normal,3,high,1242
3500,0,19940,medium,offer,5,high,1117
3500,5,12017,low,offer,2,high,756
2500,0,5808,high,normal,5,high,1695
2000,0,19370,low,normal,1,low,743
3000,0,24534,medium,offer,3,high,1128
3000,15,17870,high,urgency,2,high,1620
2000,5,15713,high,urgency,3,high,2513
3000,5,10561,low,offer,3,low,725
3000,5,5719,high,normal,4,high,1399
2000,0,14700,medium,normal,1,high,1248
3500,5,6741,medium,urgency,3,high,1151
2000,5,12766,low,urgency,5,low,1391
3500,0,6998,low,offer,5,high,888
3000,10,21787,high,urgency,4,low,1418
3000,0,19077,medium,offer,1,low,721
3000,5,3294,medium,urgency,1,high,1141
2500,0,13177,high,urgency,5,high,2216
3500,10,24727,high,urgency,2,high,1382
2500,0,12882,low,normal,4,high,1014
2500,5,4136,medium,normal,4,low,992
2000,10,5064,low,normal,5,low,1128
2500,15,10009,high,urgency,5,high,2430
2000,5,15987,medium,offer,2,low,1232
2000,10,7543,high,offer,2,low,1616
2500,10,4007,low,offer,1,low,771
3500,15,8445,low,offer,4,low,689
3500,0,13706,low,normal,4,high,724
3500,0,17749,low,normal,5,low,576
3500,5,14718,low,urgency,1,high,785
3500,15,24736,high,urgency,4,low,1215
2500,0,12439,low,offer,1,high,926
2500,15,16281,low,normal,1,low,664
3000,0,4435,high,offer,5,high,1627
3500,10,3571,medium,urgency,1,high,1012
2500,0,5382,high,urgency,2,low,1328
3000,15,8084,low,offer,2,high,915
3500,10,19661,medium,urgency,3,low,903
2000,10,16507,low,offer,5,high,1726
3000,10,10059,low,normal,3,low,640
2500,15,21271,high,offer,2,high,1722
2000,5,15771,low,normal,3,low,932
2000,5,20649,medium,normal,5,high,1790
2000,5,10491,medium,urgency,5,low,1734
3000,15,17527,medium,urgency,1,low,893
2500,10,20424,high,urgency,4,high,2276
2000,5,17859,low,offer,1,high,1206
3500,15,11073,medium,offer,5,low,921
2000,5,12077,high,urgency,2,low,1747
2000,0,22136,medium,offer,2,low,1170
3000,5,23953,high,urgency,1,low,1056
3000,5,14383,low,offer,5,low,820
2500,10,19378,medium,normal,2,high,1200
3500,15,5353,low,normal,5,low,646
3000,10,7799,high,urgency,2,low,1218
2000,10,20070,high,offer,5,high,2693
2500,10,24195,low,offer,3,low,900
2000,10,14939,medium,normal,5,low,1401
2000,10,24730,low,normal,5,low,1121
3000,5,24427,medium,urgency,1,high,1141
2500,10,5428,medium,normal,3,low,966
3500,10,24510,high,urgency,4,high,1623
3500,15,14296,medium,normal,1,low,584
3000,0,10813,medium,normal,4,high,1063
3000,5,17414,low,offer,2,low,657
2500,5,14801,low,normal,4,high,1066
3500,5,14745,low,normal,5,high,825
3500,10,16025,low,urgency,4,high,1032
3500,10,6356,high,normal,1,low,736
2000,10,17288,medium,urgency,1,low,1336
3500,15,9540,medium,normal,4,low,751
2000,0,19422,low,normal,1,low,758
2500,10,6342,high,urgency,1,low,1334
2000,0,12078,high,offer,4,high,2276
2500,15,5844,low,urgency,3,low,1007
3500,5,13396,high,urgency,3,high,1436
3500,10,20482,medium,urgency,2,high,1112
2500,0,21207,low,offer,1,high,918
3000,0,16998,medium,normal,4,low,802
2500,10,16261,medium,urgency,1,high,1435
3000,5,22539,low,urgency,5,low,935
2000,5,6093,high,offer,1,high,1895
2000,5,14722,high,urgency,1,high,2132
2000,15,23162,medium,normal,3,high,1627
3500,0,22280,medium,offer,4,high,1047
2000,0,14645,medium,normal,1,low,938
3000,0,18083,medium,normal,3,low,739
2000,15,3988,medium,offer,2,high,1719
2500,0,23500,low,urgency,3,low,913
2500,15,9446,medium,normal,3,high,1296
3500,5,19335,high,normal,3,low,832
2500,10,23563,medium,normal,1,low,823
3000,0,19133,low,normal,1,low,493
2000,0,4682,high,offer,2,low,1466
3500,5,8626,low,offer,5,high,937
2000,10,10424,low,normal,5,high,1496
2000,15,15857,low,urgency,5,high,1948
3000,10,15155,medium,normal,2,high,1001
2500,5,20317,high,urgency,5,high,2319
2500,5,22982,medium,normal,5,high,1433
2000,10,14425,low,urgency,3,low,1270
3500,15,4980,high,normal,1,high,981
2500,15,18522,high,urgency,1,low,1341
3500,0,22440,high,normal,3,low,794
2500,15,11984,low,normal,3,high,1032
3500,10,20175,medium,urgency,3,low,908
3000,5,18883,high,offer,1,low,937
3500,0,8390,high,urgency,5,low,1181
3000,0,21639,low,offer,3,low,679
3000,5,22994,low,normal,2,high,751
3500,15,4607,medium,urgency,3,low,904
3000,5,24563,high,urgency,4,low,1359
2000,15,9573,medium,urgency,3,high,2099
3000,5,20368,medium,offer,1,low,758
2500,10,8776,low,offer,3,high,1190
3500,15,6676,medium,normal,4,low,749
2000,10,6380,high,offer,2,high,2148
3500,0,11711,medium,offer,5,high,1120
2500,5,11782,high,normal,3,high,1553
2500,0,20434,high,urgency,4,high,2067
2500,0,16997,low,urgency,4,high,1320
3000,0,23017,medium,normal,2,low,678
3000,0,9342,low,urgency,1,low,648
3500,5,20343,high,offer,3,low,956
3500,0,9059,medium,normal,4,high,910
2000,5,11884,medium,normal,2,low,1074
2000,5,8655,high,normal,5,low,1668
3500,10,15091,medium,urgency,4,low,972
3000,15,23857,high,normal,2,low,932
2500,15,22330,medium,normal,1,low,826
3500,5,18251,low,normal,1,high,594
2000,10,3526,medium,urgency,4,high,2272
3000,5,6224,high,offer,4,high,1596
3500,5,18069,medium,normal,3,high,875
3500,5,14536,high,offer,2,low,884
3000,10,16547,high,urgency,4,low,1418
3500,15,21259,low,urgency,3,low,729
3000,10,4763,high,urgency,3,low,1309
2500,0,11712,low,urgency,4,high,1319
3000,10,8797,low,offer,1,low,630
3000,10,12208,low,normal,2,low,600
3000,10,8109,high,urgency,2,high,1614
3500,10,19500,medium,urgency,1,high,1022
3500,15,5433,low,offer,4,high,927
3000,0,24847,medium,offer,2,high,1045
3500,15,19967,medium,urgency,4,high,1297
2000,15,23172,low,normal,4,low,1040
2000,10,7167,high,normal,3,high,2023
3500,5,20773,high,urgency,1,low,911
3500,5,11357,medium,offer,4,high,1092
3000,15,9154,high,urgency,5,high,2032
2500,15,24804,medium,urgency,1,low,1072
3500,10,11920,high,offer,2,high,1243
2000,15,21427,medium,urgency,3,high,2103
3000,10,23581,medium,urgency,2,low,973
3500,5,22880,low,urgency,2,high,842
2000,5,20162,high,offer,1,low,1400
2000,0,3213,medium,normal,2,high,1364
2500,5,6762,low,normal,4,high,1069
3000,15,16399,low,offer,2,high,913
3000,5,12768,medium,normal,3,high,1032
2500,10,13640,medium,urgency,3,high,1683
2500,5,9731,high,normal,5,high,1783
3000,0,22501,high,urgency,3,low,1196
3000,5,8791,low,normal,2,high,757
3500,10,18822,high,offer,3,low,995
3500,10,11783,low,normal,1,high,623
2500,15,16621,high,normal,3,low,1218
3500,5,19019,high,normal,4,low,879
2000,10,5720,medium,offer,1,high,1576
3500,0,11905,high,normal,5,low,905
3500,15,12127,medium,offer,4,low,855
2000,0,19385,medium,urgency,2,low,1324
2500,5,9368,high,normal,2,low,1071
2000,5,17056,medium,offer,2,low,1231
3500,5,15236,medium,offer,4,low,816
2500,15,21333,medium,normal,4,high,1400
3500,10,17451,high,urgency,4,low,1211
2000,15,20301,medium,offer,1,high,1574
2000,0,22558,low,normal,1,low,749
3500,15,13433,high,urgency,2,high,1391
3000,0,18525,high,offer,3,high,1409
3000,15,3089,low,offer,2,low,673
2000,10,21093,low,urgency,5,high,1941
2000,0,13361,low,urgency,1,high,1298
3000,5,19369,medium,normal,4,high,1114
3000,5,6041,medium,normal,1,high,872
3500,15,3105,high,offer,4,low,1073
3500,5,12078,medium,urgency,5,high,1338
3000,0,21279,medium,urgency,5,high,1472
3500,5,9090,medium,urgency,1,high,976
3500,10,9082,high,offer,4,low,1069
2500,10,20018,medium,urgency,5,high,1940
3500,15,4925,high,urgency,2,high,1393
2000,0,21440,medium,offer,2,low,1178
3500,10,9917,low,normal,4,low,596
3500,10,22528,medium,normal,1,low,578
3000,0,3552,medium,offer,5,high,1303
2000,5,24767,medium,urgency,1,high,1703
3500,5,6911,low,offer,2,high,751
3500,15,6389,low,normal,5,high,852
2500,5,16629,high,normal,1,high,1309
3500,0,5430,low,offer,3,low,577
3500,10,3458,high,offer,4,high,1428
2500,5,16395,low,normal,4,high,1070
3000,15,3207,medium,offer,3,high,1243
3500,5,3899,medium,normal,2,high,815
2500,0,14653,medium,offer,5,high,1562
2000,15,19405,medium,offer,4,high,2007
3000,5,11601,low,offer,3,high,950
2000,15,3894,low,normal,3,high,1305
2000,0,3514,medium,offer,2,high,1568
2500,10,24288,medium,normal,2,low,894
3500,0,7109,high,normal,1,low,664
2500,0,16258,high,offer,4,low,1365
2500,0,18313,high,offer,1,high,1433
2500,0,18349,high,normal,3,low,1101
2500,10,10179,medium,normal,5,low,1125
3000,10,13326,low,urgency,5,low,959
3500,15,14787,high,normal,2,low,804
2000,5,4560,medium,urgency,5,high,2323
2000,10,16612,medium,urgency,5,low,1830
3500,10,20650,low,urgency,5,high,1116
2000,5,23022,medium,offer,3,high,1776
3500,10,22811,medium,offer,5,high,1233
2000,0,7780,high,normal,5,low,1593
2500,0,21311,medium,urgency,5,high,1759
2000,5,14894,medium,offer,1,high,1507
3500,15,5356,high,offer,3,high,1328
3500,15,7790,low,offer,2,high,786
3500,5,19690,medium,offer,1,low,653
3500,5,23049,low,offer,4,low,658
3500,0,13181,high,urgency,3,low,1021
3000,15,10057,high,urgency,3,high,1761
3000,10,19082,low,urgency,4,low,909
2000,0,3661,high,urgency,4,low,1929
3500,5,7644,low,normal,4,high,754
2000,15,18711,high,urgency,2,low,1819
3500,10,5920,high,offer,5,low,1156
3500,10,19002,high,urgency,3,high,1504
3000,0,17025,low,normal,5,low,680
3000,15,11946,high,offer,5,low,1338
2500,15,15732,high,urgency,4,high,2274
3000,5,9236,medium,urgency,2,high,1228
2500,15,19309,high,urgency,1,high,1780
2500,15,16518,low,offer,2,high,1103
2500,0,3352,high,offer,5,high,1950
2500,15,10005,low,normal,2,high,961
2500,10,17036,high,offer,4,high,2003
2000,0,19542,medium,offer,1,high,1428
3000,0,3956,low,urgency,4,high,1107
2500,5,5071,low,offer,1,high,964
3500,15,11595,low,urgency,5,low,836
3000,5,18140,medium,urgency,1,low,856
3000,10,15803,medium,offer,1,low,775
2500,0,6453,medium,normal,1,high,1001
2000,0,9675,low,normal,2,high,1084
2500,0,3955,low,offer,2,high,998
2000,10,9295,high,normal,5,low,1756
3500,10,18921,low,urgency,1,high,813
3000,5,21096,high,urgency,3,low,1260
3500,5,18282,high,offer,5,low,1100
2000,5,7703,medium,normal,1,low,983
2000,15,9563,medium,normal,1,high,1369
3500,0,15003,high,urgency,2,high,1258
2000,0,13817,low,offer,5,high,1561
3500,5,14171,low,normal,1,low,448
3000,0,15582,low,offer,1,high,774
3500,5,15201,high,normal,5,high,1283
3000,15,20778,low,urgency,3,low,839
3500,15,15473,medium,urgency,5,high,1390
2000,10,12461,high,offer,5,high,2688
3500,15,24116,high,urgency,3,high,1506
2000,5,23098,medium,normal,5,high,1787
3500,15,18596,low,urgency,1,high,818
3500,10,3529,high,offer,5,low,1138
2500,0,22342,medium,offer,3,high,1358
2000,5,22975,low,offer,4,low,1148
2500,0,15765,low,normal,5,low,812
2000,10,16910,high,normal,2,low,1407
2500,10,14561,medium,normal,1,high,1105
3000,10,12131,high,normal,1,high,1146
3500,0,3525,high,normal,2,low,726
2000,0,19385,medium,urgency,2,high,1763
2000,0,3374,medium,normal,5,high,1685
3500,0,15197,medium,normal,2,low,584
2000,10,7648,medium,urgency,4,low,1705
2000,10,5365,medium,normal,3,high,1621
2500,5,20909,high,offer,2,low,1237
2000,5,4646,medium,normal,2,high,1422
3000,0,3013,high,normal,4,low,991
3000,15,7599,medium,offer,1,high,1050
3500,15,5278,medium,offer,1,high,901
2000,10,17296,medium,offer,5,high,2157
3500,10,6155,medium,offer,4,high,1147
3000,10,11321,high,normal,3,high,1349
2000,5,6814,low,offer,3,high,1419
2000,5,16125,medium,offer,4,high,1923
3500,10,6216,low,urgency,3,low,715
3000,10,5113,medium,offer,1,high,1049
2000,10,23740,medium,offer,3,low,1407
3500,15,13238,medium,urgency,3,high,1206
3000,5,16760,high,urgency,4,low,1354
3500,15,24927,medium,normal,4,high,998
2500,15,23939,high,urgency,3,low,1576
2000,10,15588,medium,normal,2,high,1496
2500,10,6374,medium,urgency,4,high,1814
3000,0,9430,low,urgency,5,low,885
2500,0,22850,low,normal,5,high,1081
2500,15,22465,medium,urgency,1,low,1072
3000,5,14970,medium,normal,3,high,1037
3500,10,3629,low,urgency,2,high,888
2500,10,19653,low,offer,1,low,760
3500,15,13831,low,urgency,3,high,965
2500,0,8724,high,normal,4,low,1187
3500,5,14083,medium,urgency,5,low,989
3000,0,16149,medium,normal,2,high,902
2500,0,22816,low,normal,5,low,817
3000,0,12472,medium,offer,4,high,1216
2500,0,9276,low,offer,3,high,1091
3000,10,18635,low,normal,4,low,702
3000,10,8895,medium,urgency,4,high,1517
2500,0,16994,low,normal,5,low,817
2500,5,13552,low,normal,2,high,909
2500,15,19959,low,urgency,4,low,1091
2000,5,9099,low,urgency,5,low,1393
3500,5,12499,low,urgency,2,low,631
2000,5,22576,medium,urgency,3,high,2018
2000,0,6178,high,normal,3,high,1848
3000,10,22118,medium,normal,1,high,909
2500,5,9116,medium,offer,5,high,1639
3500,0,18563,low,normal,2,high,619
3000,5,6568,high,urgency,4,high,1808
2000,5,12847,medium,offer,3,low,1337
2500,0,17135,low,urgency,2,high,1132
3000,10,21587,medium,normal,5,high,1248
2500,10,20774,low,offer,1,low,750
3000,15,4742,medium,urgency,3,high,1407
2500,0,21309,medium,offer,2,high,1251
2000,15,3619,high,offer,2,high,2148
3500,15,20658,medium,normal,2,high,847
2000,15,20340,high,urgency,5,low,2280
3500,10,4939,high,offer,5,low,1154
2500,0,23337,low,offer,5,low,930
3000,15,19001,low,urgency,4,high,1210
2000,0,3968,medium,offer,2,low,1174
3500,0,17846,medium,offer,3,high,965
2000,10,3281,medium,offer,5,low,1615
3500,15,18360,high,urgency,5,low,1302
2000,15,9262,high,urgency,2,high,2433
3500,0,4058,medium,urgency,5,high,1266
3500,5,23677,medium,urgency,4,low,931
2500,10,13724,high,normal,4,high,1751
3500,10,8178,high,offer,5,high,1538
2500,10,9980,high,urgency,2,low,1457
3500,10,12200,low,offer,2,low,586
3000,15,4229,medium,offer,2,high,1142
3000,15,23969,low,normal,1,high,732
3000,5,11467,low,urgency,5,low,935
3500,10,22124,low,urgency,2,high,887
2500,10,5289,medium,offer,4,high,1608
2500,0,4239,medium,urgency,3,high,1529
3500,15,8370,low,offer,3,high,853
3000,10,19170,medium,offer,2,high,1153
3000,5,3125,medium,normal,3,high,1035
2500,5,15504,medium,normal,3,high,1230
3000,15,18398,low,normal,1,high,734
2000,5,24726,medium,offer,4,high,1920
2500,5,9638,high,urgency,4,high,2167
3000,15,9570,low,normal,1,low,552
2500,10,6249,low,urgency,1,high,1137
2000,10,12110,medium,normal,3,high,1621
2500,5,10595,high,normal,5,high,1791
2500,5,16605,medium,offer,3,high,1429
2500,10,15115,medium,normal,1,high,1100
2500,15,9294,medium,normal,4,low,1043
2000,5,8757,medium,offer,3,high,1774
3500,0,15595,low,urgency,5,high,1011
2500,15,4969,medium,normal,3,low,973
2500,5,13985,high,offer,2,low,1231
3000,5,20275,medium,normal,3,high,1027
2500,0,7470,high,offer,1,low,1078
3000,0,13225,high,urgency,4,low,1290
3500,10,12556,low,urgency,4,high,1039
2000,15,12206,high,offer,1,high,1975
2000,15,12991,low,offer,2,high,1375
3500,10,10519,medium,offer,1,high,899
2000,15,16669,low,urgency,3,low,1270
3500,15,7612,low,normal,1,high,623
3500,15,15373,medium,urgency,1,high,1016
3500,15,20582,low,offer,2,high,793
2000,15,18552,medium,offer,3,high,1862
3000,0,17646,medium,urgency,5,high,1473
3500,15,8238,low,offer,5,high,981
2500,0,18577,low,urgency,4,high,1311
2000,15,18504,medium,offer,1,high,1577
3500,10,6719,medium,normal,4,high,992
3500,5,3302,high,normal,2,high,1021
2500,0,15144,medium,offer,5,high,1570
3000,15,20370,high,urgency,1,high,1475
3000,10,13055,medium,normal,2,high,995
3000,5,7440,medium,urgency,2,high,1240
3500,0,24293,medium,offer,1,high,808
3500,5,6072,low,urgency,2,high,855
3500,10,16598,medium,normal,1,high,785
2000,0,17287,high,urgency,1,high,2032
2500,5,16965,medium,urgency,3,high,1607
3500,15,22508,high,offer,4,high,1432
2500,0,12519,high,offer,2,high,1564
2500,5,16380,high,offer,2,high,1653
3000,10,14865,high,normal,3,high,1357
2000,10,11125,medium,normal,3,high,1622
3500,0,6291,medium,offer,3,low,727
3000,5,7033,medium,offer,5,high,1372
3000,0,8105,medium,normal,5,high,1145
3500,0,20087,medium,normal,5,high,973
2500,5,11133,high,normal,1,high,1309
3000,5,19958,medium,normal,2,high,950
2500,15,8704,medium,offer,4,high,1607
2000,5,10848,low,normal,1,high,1044
2500,10,24592,medium,offer,2,high,1379
2000,0,15975,low,urgency,2,high,1408
2500,0,9924,high,urgency,3,low,1436
3000,10,23212,medium,normal,3,high,1084
3000,5,22614,low,urgency,1,high,909
2000,10,3488,low,urgency,3,low,1262
3500,10,10114,medium,urgency,2,high,1110
2000,15,18740,medium,normal,3,high,1626
2000,10,6173,medium,normal,5,low,1397
2500,0,4667,low,urgency,3,high,1220
2500,10,7114,medium,offer,2,low,1028
2000,0,6553,medium,urgency,1,high,1621
3000,0,10761,medium,normal,4,high,1051
2500,0,4000,medium,normal,3,high,1184
3500,5,18638,medium,normal,2,low,607
2500,15,20772,low,urgency,4,low,1090
2500,0,8450,high,offer,4,low,1366
3500,0,6712,medium,normal,5,high,971
2000,5,4367,medium,normal,4,low,1242
3500,0,11189,low,urgency,2,high,813
2000,10,12013,medium,offer,2,low,1286
2000,10,19838,low,urgency,3,high,1681
2000,15,22156,medium,normal,3,low,1228
3500,0,6726,high,offer,3,low,910
2000,5,7806,medium,offer,4,high,1921
3000,10,5190,low,normal,4,low,700
3500,5,12108,low,offer,5,low,701
3000,5,15178,medium,offer,3,high,1180
2000,10,5875,low,urgency,1,high,1425
2500,5,8592,low,normal,5,high,1138
2000,10,20824,high,normal,1,low,1281
3000,5,15592,medium,normal,4,high,1103
3000,10,11927,low,normal,5,low,749
3500,0,17437,high,normal,5,low,919
2500,15,14530,low,offer,2,high,1104
3500,10,10010,high,urgency,4,high,1621
3000,10,14207,medium,normal,4,low,872
2000,15,5989,high,urgency,5,high,3025
2500,10,15040,medium,urgency,4,low,1360
2000,10,12218,high,offer,5,high,2682
2000,5,9471,high,normal,2,low,1340
2500,15,5863,low,offer,5,low,1031
3500,0,13693,high,normal,4,high,1129
2000,10,4177,medium,offer,4,high,2008
3000,15,7760,medium,urgency,5,high,1622
2000,5,3011,medium,normal,5,low,1347
2500,0,24636,medium,urgency,5,low,1330
2500,15,19353,low,urgency,3,high,1350
2500,0,23783,medium,offer,4,low,1090
3500,0,14556,medium,normal,4,high,901
2000,0,14563,high,urgency,3,low,1799
3500,10,17051,high,offer,5,high,1535
3500,10,14022,medium,normal,2,high,856
2500,5,11234,medium,normal,5,low,1076
2500,5,24829,low,urgency,5,high,1478
3500,15,19173,low,normal,3,high,748
2000,5,16178,low,urgency,4,low,1305
3000,0,9570,medium,normal,5,high,1123
